TZ;VOL;%;COD;MAT;PAT
30090;273,87;0,48;LA ESMERALDA;T ROM;LOS VADOS
30091;527,5;0,92;326;T ROM;LOS VADOS
30092;517,08;0,90;LOS VADOS;T 0X50;PUERTO CARBOSAN
30099;263,88;0,46;1953-LAS ISABELLAS;T ROM;DONJUANA
30100;634,78;1,10;1973-RIVIERA;T ROM;DONJUANA
30106;64,03;0,11;1912;T ROM;LA LEJIA
30126;348,47;0,61;1875;T 0X50;PUERTO CARBOSAN
30145;484,32;0,84;337;T 0X50;ACOPIO MINEX
30146;314,01;0,55;339;T ROM;ACOPIO MINEX
30147;612,27;1,07;337;T ROM;ACOPIO MINEX
30148;1162,38;2,02;1934;T ROM;LA PRADERA
30149;204,5;0,36;546;T ROM;LA PRADERA
30150;216,53;0,38;203;T ROM;LA PRADERA
30151;286,77;0,50;668;T ROM;LA PRADERA
30152;182,1;0,32;918;T ROM;LA PRADERA
30153;190,11;0,33;1088;T ROM;LA PRADERA
30154;355,54;0,62;1934;T ROM;PATIO BONITO
30155;254,93;0,44;GUAYABO;T ROM;PATIO BONITO
30156;555,33;0,97;ACOPIO MINEX ;T 0X50;TERMOGUAJIRA-DIBULLA
30157;346,6;0,60;CARBOEX-PAJARITO;T 0X50;TERMOGUAJIRA-DIBULLA
30158;447,65;0,78;1875;T 0X50;TERMOGUAJIRA-DIBULLA
30159;103,12;0,18;PATIO BONITO;T 0X50;TERMOGUAJIRA-DIBULLA
30163;930,16;1,62;ACOPIO MINEX;T 0X50;PUERTO CARBOSAN
30171;258,29;0,45;LAJAS;T ROM;LOS VADOS
30172;477,31;0,83;LOS VADOS;T 0X50;PUERTO CARBOSAN
30219;203,81;0,35;337;T ROM;ACOPIO MINEX
30220;206,36;0,36;24;T ROM;LA PRADERA
30221;837,16;1,46;1934;T ROM;LA PRADERA
30222;382,07;0,66;217;T ROM;LA PRADERA
30223;335,97;0,58;668;T ROM;LA PRADERA
30224;209,68;0,36;1028;T ROM;LA PRADERA
30225;477,37;0,83;1934;T ROM;PATIO BONITO
30226;194,55;0,34;CAÑO DULCE;T ROM;PATIO BONITO
30227;470,32;0,82;GUAYABO;T ROM;PATIO BONITO
30233;340,1;0,59;PATIO BONITO;T 0X50;PUERTO CARBOSAN
30239;1034,83;1,80;LA LEJIA;T 0X50;PUERTO CARBOSAN
30240;211,41;0,37;1912;T ROM;LA LEJIA
30232;550,79;0,96;1875;T 0X50;PUERTO CARBOSAN
30243;181,41;0,32;1973-RIVIERA;T ROM;DONJUANA
30244;148,44;0,26;1953-LAS ISABELLAS;T ROM;DONJUANA
30245;628,57;1,09;801;T ROM;DONJUANA
